indicatorId,geoUnit,year,value,qualifier,magnitude
EA.6T8.AG25T99,AZE,2023,17.67000007629395,,
EA.6T8.AG25T99,BDI,2014,0.8100000023841858,,
EA.6T8.AG25T99,BDI,2017,0.9100000262260437,,
EA.6T8.AG25T99,BEL,2010,0.541976698905151,UIS_EST,
EA.6T8.AG25T99,BEL,2011,0.498997057684574,UIS_EST,
EA.6T8.AG25T99,BEL,2012,0.498984650964677,UIS_EST,
EA.6T8.AG25T99,BEL,2013,30.25,,
EA.6T8.AG25T99,BEL,2014,31.26000022888184,,
EA.6T8.AG25T99,BEL,2015,31.70999908447266,,
EA.6T8.AG25T99,BEL,2016,32.16999816894531,,
EA.6T8.AG25T99,BEL,2017,34.68999862670898,,
EA.6T8.AG25T99,BEL,2018,35.2702828263553,UIS_EST,
EA.6T8.AG25T99,BEL,2019,35.29999923706055,,
EA.6T8.AG25T99,BEL,2020,36.6534836708611,UIS_EST,
EA.6T8.AG25T99,BEL,2021,38.5315386438649,UIS_EST,
EA.6T8.AG25T99,BEL,2022,39.3851969696877,UIS_EST,
EA.6T8.AG25T99,BEL,2023,37.41103378799494,UIS_EST,
EA.6T8.AG25T99,BEN,2017,2.533119916915894,,
EA.6T8.AG25T99,BEN,2018,0,UIS_EST,NIL
EA.6T8.AG25T99,BEN,2019,3.784929990768433,,
EA.6T8.AG25T99,BEN,2021,3.061350107192993,,
EA.6T8.AG25T99,BEN,2022,3.853610038757324,,
EA.6T8.AG25T99,BFA,2007,1.029999971389771,,
EA.6T8.AG25T99,BFA,2014,0,,NIL
EA.6T8.AG25T99,BFA,2018,2.150000095367432,,
EA.6T8.AG25T99,BFA,2019,2.119590044021606,,
EA.6T8.AG25T99,BFA,2021,2.403419971466064,,
EA.6T8.AG25T99,BFA,2022,1.559929966926575,,
EA.6T8.AG25T99,BFA,2023,2.29087604699152,UIS_EST,
EA.6T8.AG25T99,BGD,2011,5.690000057220459,,
EA.6T8.AG25T99,BGD,2012,5.869999885559082,,
EA.6T8.AG25T99,BGD,2013,5.5,,
EA.6T8.AG25T99,BGD,2014,5.849999904632568,,
EA.6T8.AG25T99,BGD,2015,8.239999771118164,,
EA.6T8.AG25T99,BGD,2016,8.510000228881836,,
EA.6T8.AG25T99,BGD,2017,8.979999542236328,,
EA.6T8.AG25T99,BGD,2018,9.359999656677246,,
EA.6T8.AG25T99,BGD,2019,9.760000228881836,,
EA.6T8.AG25T99,BGD,2021,9.789999961853027,,
EA.6T8.AG25T99,BGD,2022,7.57236778039658,UIS_EST,
EA.6T8.AG25T99,BGR,2001,18.04999923706055,,
EA.6T8.AG25T99,BGR,2006,19.5,,
EA.6T8.AG25T99,BGR,2007,19.81999969482422,,
EA.6T8.AG25T99,BGR,2008,20.19000053405762,,
EA.6T8.AG25T99,BGR,2009,20.53000068664551,,
EA.6T8.AG25T99,BGR,2010,20.71999931335449,,
EA.6T8.AG25T99,BGR,2011,20.80999946594238,,
EA.6T8.AG25T99,BGR,2012,21.51000022888184,,
EA.6T8.AG25T99,BGR,2013,22.92000007629395,,
EA.6T8.AG25T99,BGR,2014,24.05999946594238,,
EA.6T8.AG25T99,BGR,2015,24.46999931335449,,
EA.6T8.AG25T99,BGR,2016,24.6299991607666,,
EA.6T8.AG25T99,BGR,2017,24.70999908447266,,
EA.6T8.AG25T99,BGR,2018,25.1136192434754,UIS_EST,
EA.6T8.AG25T99,BGR,2019,25.1552091366664,UIS_EST,
EA.6T8.AG25T99,BGR,2020,26.04999923706055,,
EA.6T8.AG25T99,BGR,2021,26.2697570350821,UIS_EST,
EA.6T8.AG25T99,BGR,2022,26.3977318736838,UIS_EST,
EA.6T8.AG25T99,BGR,2023,26.36885401099664,UIS_EST,
EA.6T8.AG25T99,BHR,2010,9.479999542236328,,
EA.6T8.AG25T99,BHR,2016,14.27999973297119,,
EA.6T8.AG25T99,BHR,2017,14.34000015258789,,
EA.6T8.AG25T99,BHR,2018,21.61000061035156,,
EA.6T8.AG25T99,BHR,2020,23.32999992370605,,
EA.6T8.AG25T99,BHR,2022,29.78000068664551,,
EA.6T8.AG25T99,BHR,2023,29.57999992370605,,
EA.6T8.AG25T99,BHS,2000,0.3400000035762787,,
EA.6T8.AG25T99,BHS,2010,15.22999954223633,,
EA.6T8.AG25T99,BIH,2014,7.829999923706055,,
EA.6T8.AG25T99,BIH,2015,7.550000190734863,,
EA.6T8.AG25T99,BIH,2016,8.380000114440918,,
EA.6T8.AG25T99,BIH,2017,7.18639746909136,UIS_EST,
EA.6T8.AG25T99,BIH,2018,7.75,,
EA.6T8.AG25T99,BIH,2019,6.99687462393019,UIS_EST,
EA.6T8.AG25T99,BIH,2020,10.59000015258789,,
EA.6T8.AG25T99,BIH,2021,11.7022619791558,UIS_EST,
EA.6T8.AG25T99,BIH,2022,12.28999996185303,,
EA.6T8.AG25T99,BIH,2023,11.2760298314996,UIS_EST,
EA.6T8.AG25T99,BLR,2009,22.07999992370605,,
EA.6T8.AG25T99,BLR,2019,28.29999923706055,,
EA.6T8.AG25T99,BLZ,2010,5.718500137,UIS_EST,
EA.6T8.AG25T99,BLZ,2015,2.569250107,UIS_EST,
EA.6T8.AG25T99,BLZ,2018,9.281839984040683,UIS_EST,
EA.6T8.AG25T99,BLZ,2019,6.68530743168967,UIS_EST,
EA.6T8.AG25T99,BLZ,2020,7.880000114440918,,
EA.6T8.AG25T99,BMU,2010,28.32999992370605,,
EA.6T8.AG25T99,BMU,2016,31.11000061035156,,
EA.6T8.AG25T99,BOL,2011,15.0740160315124,UIS_EST,
EA.6T8.AG25T99,BOL,2012,12.9347919933084,UIS_EST,
EA.6T8.AG25T99,BOL,2013,14.8252525312228,UIS_EST,
EA.6T8.AG25T99,BOL,2014,12.9951931913509,UIS_EST,
EA.6T8.AG25T99,BOL,2015,22.32999992370605,,
EA.6T8.AG25T99,BOL,2016,13.4819027610988,UIS_EST,
EA.6T8.AG25T99,BOL,2017,14.1513922452575,UIS_EST,
EA.6T8.AG25T99,BOL,2018,14.3088553200672,UIS_EST,
EA.6T8.AG25T99,BOL,2019,24.70000076293945,,
EA.6T8.AG25T99,BOL,2020,26.81999969482422,,
EA.6T8.AG25T99,BOL,2021,16.2906847199059,UIS_EST,
EA.6T8.AG25T99,BOL,2022,16.8931601509327,UIS_EST,
EA.6T8.AG25T99,BOL,2023,17.8769973723607,UIS_EST,
EA.6T8.AG25T99,BRA,2016,15.35000038146973,,
EA.6T8.AG25T99,BRA,2017,15.72999954223633,,
EA.6T8.AG25T99,BRA,2018,16.54000091552734,,
EA.6T8.AG25T99,BRB,2000,1.059999942779541,,
EA.6T8.AG25T99,BRN,2011,11.10999965667725,,
EA.6T8.AG25T99,BRN,2014,14.8701608901133,UIS_EST,
EA.6T8.AG25T99,BRN,2017,13.9772521119095,UIS_EST,
EA.6T8.AG25T99,BRN,2018,14.3216935802106,UIS_EST,
EA.6T8.AG25T99,BRN,2019,17.4602633891769,UIS_EST,
EA.6T8.AG25T99,BRN,2020,15.478036357003,UIS_EST,
EA.6T8.AG25T99,BRN,2021,15.9185585405187,UIS_EST,
EA.6T8.AG25T99,BRN,2022,17.5747004292565,UIS_EST,
EA.6T8.AG25T99,BRN,2023,18.51115305915125,UIS_EST,
EA.6T8.AG25T99,BTN,2017,10.19999980926514,,
EA.6T8.AG25T99,BWA,2019,8.18952284377296,UIS_EST,
EA.6T8.AG25T99,BWA,2020,8.33574163716494,UIS_EST,
